"SUID","corr","interaction","name","selected","shared interaction","shared name"
"1091","0.24","pp","ric1 (pp) ylr269c","false","pp","ric1 (pp) ylr269c"
"1092","0.415","pp","ric1 (pp) ypt1-3","false","pp","ric1 (pp) ypt1-3"
"1093","0.654","pp","ric1 (pp) ypt6","false","pp","ric1 (pp) ypt6"
"1094","0.239","pp","rgp1 (pp) ykt6-ph","false","pp","rgp1 (pp) ykt6-ph"
"1095","0.29","pp","rgp1 (pp) vti1-2","false","pp","rgp1 (pp) vti1-2"
"1096","0.694","pp","rgp1 (pp) ypt6","false","pp","rgp1 (pp) ypt6"
"1097","0.364","pp","rgp1 (pp) ypt1-3","false","pp","rgp1 (pp) ypt1-3"
"1098","0.529","pp","rgp1 (pp) vps51","false","pp","rgp1 (pp) vps51"
"1099","0.219","pp","rgp1 (pp) vps35","false","pp","rgp1 (pp) vps35"
"1100","0.212","pp","rgp1 (pp) vti1-11","false","pp","rgp1 (pp) vti1-11"
"1101","0.242","pp","rgp1 (pp) vps53","false","pp","rgp1 (pp) vps53"
"1102","0.404","pp","rgp1 (pp) sys1","false","pp","rgp1 (pp) sys1"
"1103","0.374","pp","rgp1 (pp) tlg2","false","pp","rgp1 (pp) tlg2"
"1104","0.206","pp","rgp1 (pp) sum1","false","pp","rgp1 (pp) sum1"
"1105","0.419","pp","rgp1 (pp) swa2","false","pp","rgp1 (pp) swa2"
"1106","0.336","pp","rgp1 (pp) trs85","false","pp","rgp1 (pp) trs85"
"1107","0.236","pp","rgp1 (pp) uso1-1","false","pp","rgp1 (pp) uso1-1"
"1108","0.401","pp","rgp1 (pp) trs20-ph","false","pp","rgp1 (pp) trs20-ph"
"1109","0.41","pp","rgp1 (pp) trs23-ph","false","pp","rgp1 (pp) trs23-ph"
"1110","0.271","pp","rgp1 (pp) sec17-1","false","pp","rgp1 (pp) sec17-1"
"1111","0.273","pp","rgp1 (pp) sec26-11d26","false","pp","rgp1 (pp) sec26-11d26"
"1112","0.583","pp","rgp1 (pp) ric1","false","pp","rgp1 (pp) ric1"
"1113","0.226","pp","rgp1 (pp) sac7","false","pp","rgp1 (pp) sac7"
"1114","0.227","pp","rgp1 (pp) sec28","false","pp","rgp1 (pp) sec28"
"1115","0.256","pp","rgp1 (pp) sly1-ts","false","pp","rgp1 (pp) sly1-ts"
"1116","0.371","pp","rgp1 (pp) sec26-f856aw860a","false","pp","rgp1 (pp) sec26-f856aw860a"
"1117","0.286","pp","rgp1 (pp) sec27-1","false","pp","rgp1 (pp) sec27-1"
"1118","0.27","pp","ret3-1 (pp) ric1","false","pp","ret3-1 (pp) ric1"
"1119","0.365","pp","ret3-1 (pp) trs85","false","pp","ret3-1 (pp) trs85"
"1120","0.211","pp","ret3-1 (pp) trs23-ph","false","pp","ret3-1 (pp) trs23-ph"
"1121","0.251","pp","ret3-1 (pp) vps13","false","pp","ret3-1 (pp) vps13"
"1122","0.35","pp","ret3-1 (pp) uso1-1","false","pp","ret3-1 (pp) uso1-1"
"1123","0.225","pp","ret3-1 (pp) vps63","false","pp","ret3-1 (pp) vps63"
"1124","0.211","pp","ret3-1 (pp) vps38","false","pp","ret3-1 (pp) vps38"
"1125","0.245","pp","ret3-1 (pp) yer084w","false","pp","ret3-1 (pp) yer084w"
"1126","0.298","pp","ret3-1 (pp) vti1-2","false","pp","ret3-1 (pp) vti1-2"
"1127","0.388","pp","ret3-1 (pp) ylr269c","false","pp","ret3-1 (pp) ylr269c"
"1128","0.212","pp","ret3-1 (pp) yip1-4","false","pp","ret3-1 (pp) yip1-4"
"1129","0.236","pp","ret3-1 (pp) ypt6","false","pp","ret3-1 (pp) ypt6"
"1130","0.36","pp","ret3-1 (pp) ypt1-3","false","pp","ret3-1 (pp) ypt1-3"
"1131","0.271","pp","ret3-1 (pp) rud3","false","pp","ret3-1 (pp) rud3"
"1132","0.245","pp","ret3-1 (pp) sec17-1","false","pp","ret3-1 (pp) sec17-1"
"1133","0.215","pp","ret3-1 (pp) sec18-1","false","pp","ret3-1 (pp) sec18-1"
"1134","0.446","pp","ret3-1 (pp) sec26-11d26","false","pp","ret3-1 (pp) sec26-11d26"
"1135","0.418","pp","ret3-1 (pp) sec26-f856aw860a","false","pp","ret3-1 (pp) sec26-f856aw860a"
"1136","0.439","pp","ret3-1 (pp) sec27-1","false","pp","ret3-1 (pp) sec27-1"
"1137","0.239","pp","ret3-1 (pp) sec28","false","pp","ret3-1 (pp) sec28"
"1138","0.249","pp","ret3-1 (pp) sft2","false","pp","ret3-1 (pp) sft2"
"1139","0.243","pp","ret3-1 (pp) sgt2","false","pp","ret3-1 (pp) sgt2"
"1140","0.362","pp","ret3-1 (pp) sly1-ts","false","pp","ret3-1 (pp) sly1-ts"
"1141","0.357","pp","ret3-1 (pp) sys1","false","pp","ret3-1 (pp) sys1"
"1142","0.216","pp","ret3-1 (pp) tlg2","false","pp","ret3-1 (pp) tlg2"
"1143","0.232","pp","ret3-1 (pp) trs20-ph","false","pp","ret3-1 (pp) trs20-ph"
"1144","0.201","pp","ret2-1 (pp) sec39-ph","false","pp","ret2-1 (pp) sec39-ph"
"1145","0.232","pp","ret2-1 (pp) sgt2","false","pp","ret2-1 (pp) sgt2"
"1146","0.252","pp","ret2-1 (pp) sft2","false","pp","ret2-1 (pp) sft2"
"1147","0.421","pp","ret2-1 (pp) sly1-ts","false","pp","ret2-1 (pp) sly1-ts"
"1148","0.34","pp","ret2-1 (pp) sys1","false","pp","ret2-1 (pp) sys1"
"1149","0.297","pp","ret2-1 (pp) swa2","false","pp","ret2-1 (pp) swa2"
"1150","0.263","pp","ret2-1 (pp) tlg2","false","pp","ret2-1 (pp) tlg2"
"1151","0.301","pp","ret2-1 (pp) tip20-5","false","pp","ret2-1 (pp) tip20-5"
"1152","0.27","pp","ret2-1 (pp) trs23-ph","false","pp","ret2-1 (pp) trs23-ph"
"1153","0.299","pp","ret2-1 (pp) trs20-ph","false","pp","ret2-1 (pp) trs20-ph"
"1154","0.227","pp","ret2-1 (pp) ubp3","false","pp","ret2-1 (pp) ubp3"
"1155","0.426","pp","ret2-1 (pp) trs85","false","pp","ret2-1 (pp) trs85"
"1156","0.221","pp","ret2-1 (pp) vma8","false","pp","ret2-1 (pp) vma8"
"1157","0.393","pp","ret2-1 (pp) uso1-1","false","pp","ret2-1 (pp) uso1-1"
